學年期,系所名稱,系號-序號課程碼-分班碼屬性碼,年級班別組別,類別,"科目名稱(連結課程地圖)             備註 
             限選條件",學分選必修,教師姓名*:主負責老師,已選課人數/餘額,時間/教室,課綱/Moodle,Syllabus Link
0110-1,統計系 STAT,H2-051  H222700  [STAT2006],2,講義,管理學,3  必修,李憲達,71/01,[5]5~7 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H222700&class_code=
0110-1,統計系 STAT,H2-055  H221100  [STAT2004],2,講義,程式設計,3  必選,李俊毅,61/額0滿,[3]3~4 統計系館 62225[5]2 統計系館 62225,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H221100&class_code=
0110-1,統計系 STAT,H2-056  H220702  [STAT2019],2,講義,機率概論,3  選修,李國榮,70/9,[1]1~3 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H220702&class_code=
0110-1,統計系 STAT,H2-060  H230210  [STAT2008],2,講義,會計學（一）,3  必修,施坤宏,68/10,[1]7~9 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H230210&class_code=
0110-1,統計系 STAT,H2-061  H230600  [STAT3006],2,講義,個體經濟學,3  選修,郭彥廉,44/6,[2]2~4 統計系館 62119,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H230600&class_code=
0110-1,統計系 STAT,H2-062  H133600  [ACC3014],2,講義,固定收益型證券,3  選修,王澤世,100/額滿,[4]2~4 會計系館 63211,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H133600&class_code=
0110-1,統計系 STAT,H2-063  H212200  [STAT1021],2,講義,資料科學導論,3  選修,李政德,032/28,[3]6~8 統計系館 62333,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H212200&class_code=
0110-1,統計系 STAT,H200000-Z5  [STAT],2,講義,通識課程,2  必修,,0/請參考備註,[4]7~8,Moodle,
0110-1,統計系 STAT,H200000-Z2  [STAT],2,講義,通識課程,2  必修,,0/請0參考備註,[2]5~6,Moodle,
0110-1,統計系 STAT,H210030-Z  [STAT],2,講義,體育（三）,0  必修,,0/請參考備註,[4]5~6,Moodle,
0110-1,統計系 STAT,H2-101  H233500  [STAT3026],3,講義,數理統計（二）,3  必修,趙昌泰,72/09,[2]3~4 統計系館 62117[4]2 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H233500&class_code=
0110-1,統計系 STAT,H2-103  H236301  [STAT3016],3,講義,實驗設計,3  必修,李宜真,83/額滿,[2]5 統計系館 62117[3]7~8 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H236301&class_code=
0110-1,統計系 STAT,H2-104  H230100  [STAT3003],3,講義,無母數統計,3  必修,張欣民,092/額滿,[5]2~4 統計系館 62117,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H230100&class_code=
0110-1,統計系 STAT,H2-105  H248100  [STAT3022],3,講義,時間數列分析,3  選修,林良靖,530/10,[1]2~3 統計系館 62113[3]2 統計系館 62113,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H248100&class_code=
0110-1,統計系 STAT,H2-111  H241200  [STAT4015],3,講義,統計模擬,3  選修,李俊毅,64/額滿,[1]6~8 統計系館 62225,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H241200&class_code=
0110-1,統計系 STAT,H2-112  H432300  [BA3305],3,講義,國際貿易與投資,3  選修,康信鴻,307/83,[4]2~4 企管系館 62121,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H432300&class_code=
0110-1,統計系 STAT,H200000-Z3  [STAT],3,講義,通識課程,2  必修,,0/請參考備註,[5]7~8,Moodle,
